args
attributes
children
constructor
cycle
enum
equations
inherited
mandatory
node
nodeset
nodes
pass
passes
phase
phases
actions
prefix
subphases
synthesized
this
to
traversal
travdata
values
info
func
root
start
double
float
int
uint
int8
int16
int32
int64
uint8
uint16
uint32
uint64
string
bool
lifetime
disallowed
optional
allowed
->
false
true
gate
user
uid
